name_orthographic,lowercase_name,typographic_cleaned_name,special_charachters_cleaned_name,stop_words_cleaned_name
toile coton rayée ou unie,toile coton rayée ou unie,toile coton rayee ou unie,toile coton rayee ou unie,coton ou rayee toile unie
toile coupis imitant celle des Indes,toile coupis imitant celle des indes,toile coupis imitant celle des indes,toile coupis imitant celle des indes,celle coupis imitant indes toile
toile coutil fil et laine,toile coutil fil et laine,toile coutil fil et laine,toile coutil fil et laine,coutil fil laine toile
toile coutil pour lit,toile coutil pour lit,toile coutil pour lit,toile coutil pour lit,coutil lit toile
toile craie,toile craie,toile craie,toile craie,craie toile
toile crée entretarge,toile crée entretarge,toile cree entretarge,toile cree entretarge,cree entretarge toile
toile crée gratienne,toile crée gratienne,toile cree gratienne,toile cree gratienne,cree gratienne toile
toile crée margé,toile crée margé,toile cree marge,toile cree marge,cree marge toile
toile crée pièces de 50 aunes,toile crée pièces de 50 aunes,toile cree pieces de 50 aunes,toile cree pieces de 50 aunes,50 aunes cree pieces toile
toile crée rayée,toile crée rayée,toile cree rayee,toile cree rayee,cree rayee toile
toile crée rosconne,toile crée rosconne,toile cree rosconne,toile cree rosconne,cree rosconne toile
toile cretonne,toile cretonne,toile cretonne,toile cretonne,cretonne toile
toile crin,toile crin,toile crin,toile crin,crin toile
toile crise,toile crise,toile crise,toile crise,crise toile
toile croisée coutil basin et autres,toile croisée coutil basin et autres,toile croisee coutil basin et autres,toile croisee coutil basin et autres,autres basin coutil croisee toile
toile crue et teinte,toile crue et teinte,toile crue et teinte,toile crue et teinte,crue teinte toile
toile crue large,toile crue large,toile crue large,toile crue large,crue large toile
toile crue pièces de 20 aunes,toile crue pièces de 20 aunes,toile crue pieces de 20 aunes,toile crue pieces de 20 aunes,20 aunes crue pieces toile
toile crue grise et ardoisée,toile crue grise et ardoisée,toile crue grise et ardoisee,toile crue grise et ardoisee,ardoisee crue grise toile
toile cunbabis,toile cunbabis,toile cunbabis,toile cunbabis,cunbabis toile
toile custas imitant celle des Indes,toile custas imitant celle des indes,toile custas imitant celle des indes,toile custas imitant celle des indes,celle custas imitant indes toile
toile d'abas,toile d'abas,toile d'abas,toile d abas,abas toile
toile d'Alençon,toile d'alençon,toile d'alencon,toile d alencon,alencon toile
toile d'Allemagne et Silésie,toile d'allemagne et silésie,toile d'allemagne et silesie,toile d allemagne et silesie,allemagne silesie toile
toile damassée de Caux,toile damassée de caux,toile damassee de caux,toile damassee de caux,caux damassee toile
toile d'amat,toile d'amat,toile d'amat,toile d amat,amat toile
toile d'Angers,toile d'angers,toile d'angers,toile d angers,angers toile
toile d'anne,toile d'anne,toile d'anne,toile d anne,anne toile
toile d'antale large,toile d'antale large,toile d'antale large,toile d antale large,antale large toile
toile d'antrain,toile d'antrain,toile d'antrain,toile d antrain,antrain toile
toile d'Argouges,toile d'argouges,toile d'argouges,toile d argouges,argouges toile
toile d'Artische,toile d'artische,toile d'artische,toile d artische,artische toile
toile d'Autriche,toile d'autriche,toile d'autriche,toile d autriche,autriche toile
toile d'auxonne,toile d'auxonne,toile d'auxonne,toile d auxonne,auxonne toile
toile d'azur bleue,toile d'azur bleue,toile d'azur bleue,toile d azur bleue,azur bleue toile
toile de ???,toile de ???,toile de ???,toile de ???,toile
toile de demi large,toile de demi large,toile de demi large,toile de demi large,demi large toile
toile de 30 aunes,toile de 30 aunes,toile de 30 aunes,toile de 30 aunes,30 aunes toile
toile de 3 aunes de largeur et en dessus,toile de 3 aunes de largeur et en dessus,toile de 3 aunes de largeur et en dessus,toile de 3 aunes de largeur et en dessus,3 aunes dessus largeur toile
toile de 3 aunes pour nappes,toile de 3 aunes pour nappes,toile de 3 aunes pour nappes,toile de 3 aunes pour nappes,3 aunes nappes toile
toile de 4 fils,toile de 4 fils,toile de 4 fils,toile de 4 fils,4 fils toile
toile de 7/8,toile de 7/8,toile de 7/8,toile de 7/8,78 toile
toile de balle,toile de balle,toile de balle,toile de balle,balle toile
toile de basin en fil,toile de basin en fil,toile de basin en fil,toile de basin en fil,basin fil toile
toile de basin fil en coton,toile de basin fil en coton,toile de basin fil en coton,toile de basin fil en coton,basin coton fil toile
toile de bazouges,toile de bazouges,toile de bazouges,toile de bazouges,bazouges toile
toile de Beaujolais,toile de beaujolais,toile de beaujolais,toile de beaujolais,beaujolais toile
toile de Bézier,toile de bézier,toile de bezier,toile de bezier,bezier toile
toile de Bernay,toile de bernay,toile de bernay,toile de bernay,bernay toile
toile de blancard,toile de blancard,toile de blancard,toile de blancard,blancard toile
toile de bleue,toile de bleue,toile de bleue,toile de bleue,bleue toile
toile de Bretagne 3/4,toile de bretagne 3/4,toile de bretagne 3/4,toile de bretagne 3/4,34 bretagne toile
toile de Bretagne 3 aunes,toile de bretagne 3 aunes,toile de bretagne 3 aunes,toile de bretagne 3 aunes,3 aunes bretagne toile
toile de Bretagne 7/8,toile de bretagne 7/8,toile de bretagne 7/8,toile de bretagne 7/8,78 bretagne toile
toile de Bretagne à 4 fils,toile de bretagne à 4 fils,toile de bretagne a 4 fils,toile de bretagne a 4 fils,4 bretagne fils toile
toile de Bretagne à nègre,toile de bretagne à nègre,toile de bretagne a negre,toile de bretagne a negre,bretagne negre toile
toile de Bretagne bas brin,toile de bretagne bas brin,toile de bretagne bas brin,toile de bretagne bas brin,bas bretagne brin toile
toile de Bretagne beurrière,toile de bretagne beurrière,toile de bretagne beurriere,toile de bretagne beurriere,beurriere bretagne toile
toile de Bretagne blanchie,toile de bretagne blanchie,toile de bretagne blanchie,toile de bretagne blanchie,blanchie bretagne toile
toile de Bretagne cirée large,toile de bretagne cirée large,toile de bretagne ciree large,toile de bretagne ciree large,bretagne ciree large toile
toile de Bretagne Combourg,toile de bretagne combourg,toile de bretagne combourg,toile de bretagne combourg,bretagne combourg toile
toile de Bretagne commune,toile de bretagne commune,toile de bretagne commune,toile de bretagne commune,bretagne commune toile
toile de Bretagne crée étroite,toile de bretagne crée étroite,toile de bretagne cree etroite,toile de bretagne cree etroite,bretagne cree etroite toile
toile de Bretagne crée-large,toile de bretagne crée-large,toile de bretagne cree-large,toile de bretagne cree large,bretagne cree large toile
toile de Bretagne crée large de 40 aunes,toile de bretagne crée large de 40 aunes,toile de bretagne cree large de 40 aunes,toile de bretagne cree large de 40 aunes,40 aunes bretagne cree large toile
toile de Bretagne de ???,toile de bretagne de ???,toile de bretagne de ???,toile de bretagne de ???,bretagne toile
toile de Bretagne de 6 fils,toile de bretagne de 6 fils,toile de bretagne de 6 fils,toile de bretagne de 6 fils,6 bretagne fils toile
toile de Bretagne de balles,toile de bretagne de balles,toile de bretagne de balles,toile de bretagne de balles,balles bretagne toile
toile de Bretagne de bazot,toile de bretagne de bazot,toile de bretagne de bazot,toile de bretagne de bazot,bazot bretagne toile
toile de Bretagne de challe,toile de bretagne de challe,toile de bretagne de challe,toile de bretagne de challe,bretagne challe toile
toile de Bretagne de couture,toile de bretagne de couture,toile de bretagne de couture,toile de bretagne de couture,bretagne couture toile
toile de Bretagne de gratienne,toile de bretagne de gratienne,toile de bretagne de gratienne,toile de bretagne de gratienne,bretagne gratienne toile
toile de Bretagne de Moncontour,toile de bretagne de moncontour,toile de bretagne de moncontour,toile de bretagne de moncontour,bretagne moncontour toile
toile de Bretagne de Mayenne,toile de bretagne de mayenne,toile de bretagne de mayenne,toile de bretagne de mayenne,bretagne mayenne toile
toile de Bretagne de Mortagne ???,toile de bretagne de mortagne ???,toile de bretagne de mortagne ???,toile de bretagne de mortagne ???,bretagne mortagne toile
toile de Bretagne de Moutier,toile de bretagne de moutier,toile de bretagne de moutier,toile de bretagne de moutier,bretagne moutier toile
toile de Bretagne de Noirmoutier,toile de bretagne de noirmoutier,toile de bretagne de noirmoutier,toile de bretagne de noirmoutier,bretagne noirmoutier toile
toile de Bretagne de Pontigny,toile de bretagne de pontigny,toile de bretagne de pontigny,toile de bretagne de pontigny,bretagne pontigny toile
toile de Bretagne de quatre fils,toile de bretagne de quatre fils,toile de bretagne de quatre fils,toile de bretagne de quatre fils,bretagne fils quatre toile
toile de Bretagne de réforme,toile de bretagne de réforme,toile de bretagne de reforme,toile de bretagne de reforme,bretagne reforme toile
toile de Bretagne d'Ernée,toile de bretagne d'ernée,toile de bretagne d'ernee,toile de bretagne d ernee,bretagne ernee toile
toile de Bretagne de rondelette,toile de bretagne de rondelette,toile de bretagne de rondelette,toile de bretagne de rondelette,bretagne rondelette toile
toile de Bretagne de rousse,toile de bretagne de rousse,toile de bretagne de rousse,toile de bretagne de rousse,bretagne rousse toile
toile de Bretagne de sept huit,toile de bretagne de sept huit,toile de bretagne de sept huit,toile de bretagne de sept huit,bretagne huit sept toile
toile de Bretagne de serpillère,toile de bretagne de serpillère,toile de bretagne de serpillere,toile de bretagne de serpillere,bretagne serpillere toile
toile de Bretagne de Saint-???,toile de bretagne de saint-???,toile de bretagne de saint-???,toile de bretagne de saint ???,bretagne saint toile
toile de Bretagne de Suvignan,toile de bretagne de suvignan,toile de bretagne de suvignan,toile de bretagne de suvignan,bretagne suvignan toile
toile de Bretagne de Hollande,toile de bretagne de hollande,toile de bretagne de hollande,toile de bretagne de hollande,bretagne hollande toile
toile de Bretagne diverse blanche large,toile de bretagne diverse blanche large,toile de bretagne diverse blanche large,toile de bretagne diverse blanche large,blanche bretagne diverse large toile
toile de Bretagne diverse de Fougères,toile de bretagne diverse de fougères,toile de bretagne diverse de fougeres,toile de bretagne diverse de fougeres,bretagne diverse fougeres toile
toile de Bretagne diverse de rosconne,toile de bretagne diverse de rosconne,toile de bretagne diverse de rosconne,toile de bretagne diverse de rosconne,bretagne diverse rosconne toile
toile de Bretagne diverse écrue,toile de bretagne diverse écrue,toile de bretagne diverse ecrue,toile de bretagne diverse ecrue,bretagne diverse ecrue toile
toile de Bretagne diverse haut brin,toile de bretagne diverse haut brin,toile de bretagne diverse haut brin,toile de bretagne diverse haut brin,bretagne brin diverse haut toile
toile de Bretagne diverse pièces larges,toile de bretagne diverse pièces larges,toile de bretagne diverse pieces larges,toile de bretagne diverse pieces larges,bretagne diverse larges pieces toile
toile de Bretagne diverse serpillère,toile de bretagne diverse serpillère,toile de bretagne diverse serpillere,toile de bretagne diverse serpillere,bretagne diverse serpillere toile
toile de Bretagne diverse verges rayées,toile de bretagne diverse verges rayées,toile de bretagne diverse verges rayees,toile de bretagne diverse verges rayees,bretagne diverse rayees toile verges
toile de Bretagne diverse verges serpillère,toile de bretagne diverse verges serpillère,toile de bretagne diverse verges serpillere,toile de bretagne diverse verges serpillere,bretagne diverse serpillere toile verges
toile de Bretagne fine claire,toile de bretagne fine claire,toile de bretagne fine claire,toile de bretagne fine claire,bretagne claire fine toile
toile de Bretagne fine étroite,toile de bretagne fine étroite,toile de bretagne fine etroite,toile de bretagne fine etroite,bretagne etroite fine toile
toile de Bretagne fine large,toile de bretagne fine large,toile de bretagne fine large,toile de bretagne fine large,bretagne fine large toile
toile de Bretagne Fougères,toile de bretagne fougères,toile de bretagne fougeres,toile de bretagne fougeres,bretagne fougeres toile
toile de Bretagne guingans,toile de bretagne guingans,toile de bretagne guingans,toile de bretagne guingans,bretagne guingans toile
toile de Bretagne Locronan,toile de bretagne locronan,toile de bretagne locronan,toile de bretagne locronan,bretagne locronan toile
toile de Bretagne ménage,toile de bretagne ménage,toile de bretagne menage,toile de bretagne menage,bretagne menage toile
toile de Bretagne ??? brin,toile de bretagne ??? brin,toile de bretagne ??? brin,toile de bretagne ??? brin,bretagne brin toile
