name_orthographic,lowercase_name,typographic_cleaned_name
drape petite,drape petite,drape petite
draperie 20 lignes,draperie 20 lignes,draperie 20 lignes
draperie à la valeur,draperie à la valeur,draperie a la valeur
draperie assortie,draperie assortie,draperie assortie
draperie au sixième de soie,draperie au sixième de soie,draperie au sixieme de soie
draperie callemande,draperie callemande,draperie callemande
draperie calmande,draperie calmande,draperie calmande
draperie cammise,draperie cammise,draperie cammise
draperie casimir,draperie casimir,draperie casimir
draperie cordeillat,draperie cordeillat,draperie cordeillat
draperie d'Angleterre,draperie d'angleterre,draperie d'angleterre
draperie d'Auvergne,draperie d'auvergne,draperie d'auvergne
draperie de Carcassonne,draperie de carcassonne,draperie de carcassonne
draperie de Champagne,draperie de champagne,draperie de champagne
draperie de dauphine,draperie de dauphine,draperie de dauphine
draperie de laine de Sedan,draperie de laine de sedan,draperie de laine de sedan
draperie de laine diverse,draperie de laine diverse,draperie de laine diverse
draperie de laine drap,draperie de laine drap,draperie de laine drap
draperie de laine londrin,draperie de laine londrin,draperie de laine londrin
draperie de laine pour les troupes,draperie de laine pour les troupes,draperie de laine pour les troupes
draperie ??? du Languedoc,draperie ??? du languedoc,draperie ??? du languedoc
draperie de Languedoc fin,draperie de languedoc fin,draperie de languedoc fin
draperie de Lyon,draperie de lyon,draperie de lyon
draperie du Poitou,draperie du poitou,draperie du poitou
draperie diverse de laine,draperie diverse de laine,draperie diverse de laine
draperie drap au sixième de soie,draperie drap au sixième de soie,draperie drap au sixieme de soie
draperie drap de vigogne,draperie drap de vigogne,draperie drap de vigogne
draperie drap écarlate,draperie drap écarlate,draperie drap ecarlate
draperie drap en soie et dorure,draperie drap en soie et dorure,draperie drap en soie et dorure
draperie drap julienne,draperie drap julienne,draperie drap julienne
draperie drap pour billau,draperie drap pour billau,draperie drap pour billau
draperie drap divers,draperie drap divers,draperie drap divers
draperie drap divers du Languedoc velours,draperie drap divers du languedoc velours,draperie drap divers du languedoc velours
draperie drap divers d'Elbeuf velours,draperie drap divers d'elbeuf velours,draperie drap divers d'elbeuf velours
draperie drap divers de Sedan velours,draperie drap divers de sedan velours,draperie drap divers de sedan velours
draperie drap sedan,draperie drap sedan,draperie drap sedan
draperie et étoffe de laine,draperie et étoffe de laine,draperie et etoffe de laine
draperie fine diverse,draperie fine diverse,draperie fine diverse
draperie fine diverse dite londrin du Languedoc de Carcassonne et Lodève,draperie fine diverse dite londrin du languedoc de carcassonne et lodève,draperie fine diverse dite londrin du languedoc de carcassonne et lodeve
draperie fine diverse ordinaire et petite,draperie fine diverse ordinaire et petite,draperie fine diverse ordinaire et petite
draperie grosse,draperie grosse,draperie grosse
draperie or argent et soie,draperie or argent et soie,draperie or argent et soie
draperie ordinaire du Languedoc,draperie ordinaire du languedoc,draperie ordinaire du languedoc
draperie peinte,draperie peinte,draperie peinte
draperie petite de Montauban,draperie petite de montauban,draperie petite de montauban
draperie petite de Silésie,draperie petite de silésie,draperie petite de silesie
draperie petite diverse,draperie petite diverse,draperie petite diverse
draperie petite londrin,draperie petite londrin,draperie petite londrin
draperie petite Maroc,draperie petite maroc,draperie petite maroc
draperie petite matine,draperie petite matine,draperie petite matine
draperie petite ratine,draperie petite ratine,draperie petite ratine
draperie platine,draperie platine,draperie platine
draperie des prises,draperie des prises,draperie des prises
draperie en échantillon et lisières,draperie en échantillon et lisières,draperie en echantillon et lisieres
draperie et étoffe,draperie et étoffe,draperie et etoffe
drap et étoffe de laine,drap et étoffe de laine,drap et etoffe de laine
drap fin blanc,drap fin blanc,drap fin blanc
drap fin manufacture de France,drap fin manufacture de france,drap fin manufacture de france
drap gros,drap gros,drap gros
drap gros de laine,drap gros de laine,drap gros de laine
drap grossier,drap grossier,drap grossier
drap imprimé,drap imprimé,drap imprime
drap londrin ?,drap londrin ?,drap londrin ?
drap londrin second,drap londrin second,drap londrin second
drap naufragé,drap naufragé,drap naufrage
drap noir de Sedan,drap noir de sedan,drap noir de sedan
drap petit dit raz Maroc,drap petit dit raz maroc,drap petit dit raz maroc
drap petite ratine,drap petite ratine,drap petite ratine
drap petit raz de castor,drap petit raz de castor,drap petit raz de castor
drap petit raz refoulé,drap petit raz refoulé,drap petit raz refoule
drap raz d'Angleterre,drap raz d'angleterre,drap raz d'angleterre
drap raze blanche,drap raze blanche,drap raze blanche
drap rouge,drap rouge,drap rouge
drap rouge bariolé,drap rouge bariolé,drap rouge bariole
drap d'Abbeville Valenciennes,drap d'abbeville valenciennes,drap d'abbeville valenciennes
drap blanc de douzaine,drap blanc de douzaine,drap blanc de douzaine
drap blanc de douzaine aune,drap blanc de douzaine aune,drap blanc de douzaine aune
drap blanc d'Espagne,drap blanc d'espagne,drap blanc d'espagne
drap blanc de Hollande,drap blanc de hollande,drap blanc de hollande
drap d'Amboise,drap d'amboise,drap d'amboise
drap d'Angleterre aune,drap d'angleterre aune,drap d'angleterre aune
drap d'Angleterre Hollande et Espagne,drap d'angleterre hollande et espagne,drap d'angleterre hollande et espagne
drap d'aucrin,drap d'aucrin,drap d'aucrin
drap de Beauvaste,drap de beauvaste,drap de beauvaste
drap de Bergopzoom,drap de bergopzoom,drap de bergopzoom
drap de castor aune,drap de castor aune,drap de castor aune
drap de castor par aune,drap de castor par aune,drap de castor par aune
drap de coton de Rouen,drap de coton de rouen,drap de coton de rouen
drap de diverses coutures,drap de diverses coutures,drap de diverses coutures
drap de douzaine aune,drap de douzaine aune,drap de douzaine aune
drap de Glaster,drap de glaster,drap de glaster
drap de Korook,drap de korook,drap de korook
drap de laine draperie diverse,drap de laine draperie diverse,drap de laine draperie diverse
drap de Latte,drap de latte,drap de latte
drap d'Elbeuf de retour,drap d'elbeuf de retour,drap d'elbeuf de retour
drap de Limbourg,drap de limbourg,drap de limbourg
drap de Limbourg aune,drap de limbourg aune,drap de limbourg aune
drap de lit commun,drap de lit commun,drap de lit commun
drap de lit de lin,drap de lit de lin,drap de lit de lin
drap de lit neuf,drap de lit neuf,drap de lit neuf
drap de lit toile de lin,drap de lit toile de lin,drap de lit toile de lin
drap de Lyon,drap de lyon,drap de lyon
drap du Maroc aune,drap du maroc aune,drap du maroc aune
drap de Moucu,drap de moucu,drap de moucu
drap de Panguede,drap de panguede,drap de panguede
drap de Pie,drap de pie,drap de pie
drap de Pie aune,drap de pie aune,drap de pie aune
drap de Sedan de retour,drap de sedan de retour,drap de sedan de retour
drap de Ségovie,drap de ségovie,drap de segovie
drap de Soudrain,drap de soudrain,drap de soudrain
drap de Souvier,drap de souvier,drap de souvier
drap d'Espagne aune,drap d'espagne aune,drap d'espagne aune
drap de toute espèce,drap de toute espèce,drap de toute espece
drap de toute sorte,drap de toute sorte,drap de toute sorte
drap de vere,drap de vere,drap de vere
drap de Vir,drap de vir,drap de vir
drap dit packlaeken,drap dit packlaeken,drap dit packlaeken
drap dit packlaeken aune,drap dit packlaeken aune,drap dit packlaeken aune
drap dit packlaeken blanc,drap dit packlaeken blanc,drap dit packlaeken blanc
drap dit packlaeken blanc aune,drap dit packlaeken blanc aune,drap dit packlaeken blanc aune
drap dit packlaeken teint,drap dit packlaeken teint,drap dit packlaeken teint
drap dit packlaeken teint aune,drap dit packlaeken teint aune,drap dit packlaeken teint aune
drap dit plawens,drap dit plawens,drap dit plawens
drap dit plawens aune,drap dit plawens aune,drap dit plawens aune
drap dit plawens ou codde,drap dit plawens ou codde,drap dit plawens ou codde
drap dit plawens ou codde aune,drap dit plawens ou codde aune,drap dit plawens ou codde aune
drap divers ???,drap divers ???,drap divers ???
drap divers anglais,drap divers anglais,drap divers anglais
drap divers de laine,drap divers de laine,drap divers de laine
drap divers de Limbourg,drap divers de limbourg,drap divers de limbourg
drap divers draperie,drap divers draperie,drap divers draperie
drap divers fin,drap divers fin,drap divers fin
drap d'or et d'argent fin,drap d'or et d'argent fin,drap d'or et d'argent fin
drap draperie petite du Languedoc,drap draperie petite du languedoc,drap draperie petite du languedoc
drap draperie petite de mains,drap draperie petite de mains,drap draperie petite de mains
drap draperie petite de Sedan,drap draperie petite de sedan,drap draperie petite de sedan
drap draperie petite de Silésie,drap draperie petite de silésie,drap draperie petite de silesie
drap draperie petite divers,drap draperie petite divers,drap draperie petite divers
drap draperie petite diverse,drap draperie petite diverse,drap draperie petite diverse
drap draperie petite du Maroc,drap draperie petite du maroc,drap draperie petite du maroc
drap drap commun,drap drap commun,drap drap commun
drap drap fin,drap drap fin,drap drap fin
drap droguet de castor,drap droguet de castor,drap droguet de castor
drap droguet de Milan,drap droguet de milan,drap droguet de milan
drap droguet fil à laine,drap droguet fil à laine,drap droguet fil a laine
drap du Nord,drap du nord,drap du nord
drap du pays,drap du pays,drap du pays
drap Elbeuf,drap elbeuf,drap elbeuf
drap serge de laine et fil,drap serge de laine et fil,drap serge de laine et fil
drap serge des prises,drap serge des prises,drap serge des prises
drap serge écarlatine,drap serge écarlatine,drap serge ecarlatine
drap serge fil et laine,drap serge fil et laine,drap serge fil et laine
drap et draperie divers de laine,drap et draperie divers de laine,drap et draperie divers de laine
drap et draperie,drap et draperie,drap et draperie
drap et draperie casinier,drap et draperie casinier,drap et draperie casinier
drap et draperie de toute sorte,drap et draperie de toute sorte,drap et draperie de toute sorte
drap et draperie raffiné,drap et draperie raffiné,drap et draperie raffine
drap et mouchoirs de soie,drap et mouchoirs de soie,drap et mouchoirs de soie
drap et velours de coton,drap et velours de coton,drap et velours de coton
drap fin et draperie,drap fin et draperie,drap fin et draperie
drap gros de Cobras,drap gros de cobras,drap gros de cobras
drap londrine,drap londrine,drap londrine
drap mêlé d'Espagne,drap mêlé d'espagne,drap mele d'espagne
drap natives divers,drap natives divers,drap natives divers
drap naturel commun,drap naturel commun,drap naturel commun
drap naturel de Sedan,drap naturel de sedan,drap naturel de sedan
drap naturel diverses,drap naturel diverses,drap naturel diverses
drap naturel Sirre,drap naturel sirre,drap naturel sirre
drap non indiqué,drap non indiqué,drap non indique
drap palencourt,drap palencourt,drap palencourt
drap petit divers,drap petit divers,drap petit divers
drap ratine diverse,drap ratine diverse,drap ratine diverse
drap raz de Saint-Lô,drap raz de saint-lô,drap raz de saint-lo
drap Reims,drap reims,drap reims
drap serge sergette,drap serge sergette,drap serge sergette
drap teint,drap teint,drap teint
drap teint aune,drap teint aune,drap teint aune
drap teint de douzaine,drap teint de douzaine,drap teint de douzaine
drap teint de douzaine aune,drap teint de douzaine aune,drap teint de douzaine aune
drap teint d'Espagne,drap teint d'espagne,drap teint d'espagne
drap teint d'Espagne et de Hollande,drap teint d'espagne et de hollande,drap teint d'espagne et de hollande
drap teint d'Espagne et de Hollande aune,drap teint d'espagne et de hollande aune,drap teint d'espagne et de hollande aune
drap teint de Hollande,drap teint de hollande,drap teint de hollande
drap teint et mêlé,drap teint et mêlé,drap teint et mele
drap teint et mêlé aune,drap teint et mêlé aune,drap teint et mele aune
drap teint et mêlé de douzaine,drap teint et mêlé de douzaine,drap teint et mele de douzaine
drap teint et mêlé de douzaine aune,drap teint et mêlé de douzaine aune,drap teint et mele de douzaine aune
drap vieux,drap vieux,drap vieux
drap vieux pour l'entrepôt pour la Guinée,drap vieux pour l'entrepôt pour la guinée,drap vieux pour l'entrepot pour la guinee
